Postcode,Suburb,State,LS_Accounts,LS_Value,Population,LS_Accounts_Per_Person,LS_Value_Per_Person,Tax_Population,Tax_Median_Income,Tax_Mean_Income
2111,Gladesville,NSW,411,9460583.69,13424,0.03,704.75,8758,52286,79902
2112,Denistone East,NSW,662,15061458.34,27771,0.02,542.34,17557,46141,61076
2113,East Ryde,NSW,530,11482409.82,16800,0.03,683.48,11482,47428,61231
2114,Denistone,NSW,652,14296205.88,21476,0.03,665.68,13787,45844,56881
2115,Ermington,NSW,224,4451205.37,9471,0.02,469.98,5281,43465,52723
2116,Rydalmere,NSW,179,3326206.99,6218,0.03,534.93,3375,43310,51204
2117,Dundas (NSW),NSW,464,9170894.04,19019,0.02,482.20,11112,41659,53187
2118,Carlingford,NSW,494,10799966.27,21570,0.02,500.69,13653,40458,54146
2119,Beecroft,NSW,255,7153273.01,10903,0.02,656.08,7255,50223,82737
2120,Pennant Hills,NSW,547,12854157.08,19626,0.03,654.96,12686,47499,65031
2121,Epping (NSW),NSW,594,14250695.59,24617,0.02,578.90,17001,44220,62597
2122,Eastwood (NSW),NSW,685,14416412.83,28545,0.02,505.04,18656,39938,54059
2123,,NSW,2,89063.78,,,,,,
2124,,NSW,375,3943031.93,,,,,,
2125,West Pennant Hills,NSW,304,10486714.07,15966,0.02,656.82,10867,49837,78015
2126,Cherrybrook,NSW,383,10865449.57,18779,0.02,578.60,11804,46932,65741
2127,Newington (NSW),NSW,297,5550768.36,8144,0.04,681.58,6933,52832,62532
2128,Silverwater (Auburn - NSW),NSW,67,864235.45,3163,0.02,273.23,1060,41153,48802
2129,Homebush West,NSW,4,90008.19,4,1.00,22502.05,,,
2130,Summer Hill (Ashfield - NSW),NSW,312,6070941.65,6588,0.05,921.52,4513,51459,66285
2131,Ashfield (NSW),NSW,733,12419675.59,22190,0.03,559.70,13646,41827,52020
2132,Croydon (NSW),NSW,287,7075693.81,10380,0.03,681.67,6080,44870,59022
2133,Croydon Park (NSW),NSW,327,7292089.13,10742,0.03,678.84,5972,43290,53614
2134,Burwood (NSW),NSW,408,7660589.33,12468,0.03,614.42,8858,33267,47303
2135,Strathfield (NSW),NSW,607,14057614.27,23097,0.03,608.63,16002,39554,63608
2136,Burwood Heights,NSW,204,4317621.16,6719,0.03,642.60,4393,43753,55809
2137,Breakfast Point,NSW,667,14220910.48,24018,0.03,592.09,15888,49011,71292
2138,Concord West,NSW,362,7287765.45,13519,0.03,539.08,10493,45879,59109
2139,Concord West,NSW,2,22482.31,56,0.04,401.47,,,
2140,Homebush (NSW),NSW,337,5878585.07,12512,0.03,469.84,8201,40847,49193
2141,Berala,NSW,615,10203145.39,25479,0.02,400.45,15000,35580,43289
2142,Clyde (NSW),NSW,560,8245619.28,22525,0.02,366.07,11345,37065,42610
2143,Birrong,NSW,172,2609077.87,7460,0.02,349.74,3998,38726,44663
2144,Auburn (NSW),NSW,710,10009315.57,33123,0.02,302.19,16284,30344,36273
2145,Constitution Hill,NSW,1696,31241967.31,71312,0.02,438.10,41470,44679,52067
2146,Old Toongabbie,NSW,404,6411106.95,15684,0.03,408.77,9355,44685,50721
2147,Kings Langley,NSW,854,15866746.79,35074,0.02,452.38,19243,44719,50839
2148,Arndell Park,NSW,1427,24215799.84,58671,0.02,412.74,32103,42132,46436
2149,,NSW,2,10251.43,,,,,,
2150,Harris Park,NSW,781,11151256.24,24811,0.03,449.45,17114,41999,48453
2151,North Parramatta,NSW,561,10291019.84,20223,0.03,508.88,11530,44932,55757
2152,Northmead,NSW,246,5044331.3,10224,0.02,493.38,6243,46166,55637
2153,Baulkham Hills,NSW,1277,27832004.53,52452,0.02,530.62,33711,47672,60484
2154,Castle Hill (NSW),NSW,837,19910015.75,37914,0.02,525.14,24222,47261,67126
2155,Beaumont Hills,NSW,1028,22469618.46,44028,0.02,510.35,28466,52205,64324
2156,Annangrove,NSW,268,6566171.87,12347,0.02,531.80,8585,45781,75471
2157,Canoelands,NSW,94,1422977.07,3710,0.03,383.55,2282,39773,60541
2158,Dural (Hornsby - NSW),NSW,211,4677670.85,8289,0.03,564.32,5490,44854,81737
2159,Arcadia (NSW),NSW,98,2267908.77,4550,0.02,498.44,3268,42144,65346
2160,Merrylands,NSW,728,11820419.82,32845,0.02,359.88,16354,38213,44607
2161,Guildford (NSW),NSW,586,8752737.85,28269,0.02,309.62,12619,36872,42226
2162,Chester Hill,NSW,366,6423485.29,16989,0.02,378.10,7878,37367,43682
2163,Carramar (NSW),NSW,198,2430720.19,8753,0.02,277.70,3331,35829,40881
2164,Smithfield (NSW),NSW,439,7035708.78,18365,0.02,383.10,9385,40752,47432
2165,Fairfield (NSW),NSW,785,11968590.48,39513,0.02,302.90,15784,37172,42421
2166,Cabramatta,NSW,992,15134185.89,49723,0.02,304.37,21672,35816,40570
2167,Glenfield (NSW),NSW,172,2615640.9,7555,0.02,346.21,4774,44959,50178
2168,Ashcroft,NSW,845,13581298.66,41911,0.02,324.05,17826,40137,44782
2169,,NSW,1,12463.52,,,,,,
2170,Casula,NSW,2120,37714680.99,95044,0.02,396.81,46735,42130,48658
2171,Cecil Hills,NSW,591,10866213.59,24390,0.02,445.52,17796,46119,53214
2172,Pleasure Point,NSW,61,1249136.1,2262,0.03,552.23,1311,55236,65592
2173,Holsworthy,NSW,341,6768789.96,13256,0.03,510.62,8165,51575,56843
2174,Edmondson Park,NSW,21,294804.67,423,0.05,696.94,590,45736,55936
2175,Horsley Park,NSW,38,526989.18,1936,0.02,272.21,1049,42413,56353
2176,Abbotsbury,NSW,920,15690529.66,46064,0.02,340.62,23873,41421,48033
2177,Bonnyrigg,NSW,279,4193801.93,15188,0.02,276.13,7308,40365,45069
2178,Cecil Park,NSW,80,1409714.33,4825,0.02,292.17,1959,41512,55232
